campaign_id,campaign_name,platform,campaign_type,objective,start_date,end_date,status,daily_budget,total_spend,impressions,clicks,ctr,cpc,conversions,conversion_rate,cost_per_conversion,revenue,roas,target_audience,ad_format
CAMP_0033,Product Launch - Eco Accessories - Oct2025,Facebook Ads,Product Launch,Engagement,2025-10-24,2025-11-13,Completed,1146,22931.53,204133,3088,1.5,7.48,83,2.74,276.14,91798.0,4.01,Eco-conscious Millennials,Single Image
CAMP_0036,Product Launch - Green Living - Nov2025,Facebook Ads,Product Launch,Traffic,2025-11-14,2025-11-24,Completed,3954,39552.86,248519,3731,1.5,10.61,119,3.19,335.08,124609.21,3.14,"Women 25-35, Metro Cities",Carousel
CAMP_0037,Flash Sale - Eco Accessories - Nov2025,Facebook Ads,Flash Sale,Traffic,2025-11-17,2025-12-17,Active,3436,72160.89,516533,7759,1.5,9.31,299,3.86,241.32,854841.0,11.85,"Men 28-40, Tier 1 & 2 Cities",Carousel
CAMP_0041,Festive Campaign - Sustainable Clothing - Nov2025,Facebook Ads,Festive Campaign,Traffic,2025-11-26,2025-12-18,Active,2164,25968.0,169666,2545,1.5,10.2,72,2.86,360.67,100656.0,3.88,"Women 25-35, Metro Cities",Stories
CAMP_0044,Flash Sale - Organic Footwear - Nov2025,Facebook Ads,Flash Sale,Traffic,2025-11-09,2025-11-24,Completed,3584,53760.0,360800,5412,1.5,9.93,103,1.91,521.94,224746.0,4.18,Eco-conscious Millennials,Stories
CAMP_0045,Influencer Collaboration - Sustainable Clothing - Oct2025,Facebook Ads,Influencer Collaboration,Brand Awareness,2025-10-13,2025-11-01,Completed,4318,82044.12,947333,14220,1.5,5.77,357,2.51,229.81,445893.0,5.43,"Women 25-35, Metro Cities",Stories
CAMP_0046,Festive Campaign - Eco Accessories - Nov2025,Facebook Ads,Festive Campaign,Traffic,2025-11-23,2025-12-01,Completed,4979,39832.0,268666,4030,1.5,9.88,154,3.84,258.65,385616.0,9.68,"Gen Z, Urban Areas",Collection
CAMP_0047,Influencer Collaboration - Organic Footwear - Oct2025,Facebook Ads,Influencer Collaboration,Traffic,2025-10-25,2025-11-21,Completed,2408,65029.62,673800,10127,1.5,6.43,212,2.1,306.68,566888.0,8.72,"Premium Shoppers, Age 30-45",Carousel
CAMP_0049,Influencer Collaboration - Green Living - Sep2025,Facebook Ads,Influencer Collaboration,Conversions,2025-09-14,2025-09-26,Completed,2817,33804.0,234800,3522,1.5,9.6,121,3.44,279.37,280962.0,8.31,"Women 25-35, Metro Cities",Stories
CAMP_0050,Flash Sale - Sustainable Clothing - Nov2025,Facebook Ads,Flash Sale,Traffic,2025-11-04,2025-12-04,Completed,1791,53730.0,389866,5848,1.5,9.19,145,2.49,370.55,423255.0,7.88,Eco-conscious Millennials,Video
