post_id,platform,post_type,content,media_type,posted_date,posted_time,impressions,reach,likes,comments,shares,saves,engagement_rate
POST_0073,Twitter,organic,Weekend vibes with Organic Footwear ☀️ #WeekendStyle #SustainableFashion,image,15-11-2025,23:49:07,27026,18728,557,33,18,0,3.25
POST_0074,Twitter,organic,Apne friends ko tag karo! Sustainable Clothing pe offer chal raha hai 🎁 #GiftIdeas #Trending,image,16-11-2025,13:50:25,42233,36848,823,65,44,0,2.63
POST_0081,Twitter,organic,This week's bestseller: Our iconic Green Living is back in stock! 🔥 #Trending #EcoFashion,image,15-10-2025,12:47:26,35890,31766,373,24,27,0,1.33
POST_0083,Twitter,organic,Weekend vibes with Green Living ☀️ #WeekendStyle #SustainableFashion,video,12-10-2025,14:30:10,27515,23151,396,33,10,0,1.9
POST_0091,Twitter,organic,New collection launch! Check out our latest Organic Footwear 🌿 #Sustainable #EcoFriendly,image,24-09-2025,11:41:09,32508,28028,859,57,44,0,3.43
POST_0099,Twitter,organic,Meet our artisans: The hands behind your favorite Sustainable Clothing 👐 #Artisan #Handcrafted,video,04-12-2025,14:42:03,21663,13743,149,14,7,0,1.12
POST_0114,Twitter,organic,Style guide: How to wear our Sustainable Clothing in 3 different ways 👗 #FashionTips #Sustainable,carousel,13-11-2025,01:17:17,23641,18036,325,42,8,0,2.06
POST_0120,Twitter,organic,Festive season special! Eco Accessories collections ab available 🪔 #DiwaliVibes #Traditional,image,26-10-2025,15:56:52,29431,21143,400,34,19,0,2.14
POST_0122,Twitter,organic,Flat 20% off on all Eco Accessories! Use code: ECO20 🎉 #Discount #ShopNow,image,02-11-2025,11:02:18,17258,10990,188,10,7,0,1.87
POST_0123,Twitter,organic,New collection launch! Check out our latest Eco Accessories 🌿 #Sustainable #EcoFriendly,video,19-11-2025,09:20:06,25895,16927,413,53,19,0,2.87
POST_0124,Twitter,organic,Comfort aur fashion ka perfect mix! Organic Footwear collection 👗 #ComfortWear #Stylish,image,17-10-2025,08:35:19,17032,14462,279,19,17,0,2.08
POST_0126,Twitter,organic,Weekend vibes with Organic Footwear ☀️ #WeekendStyle #SustainableFashion,image,07-10-2025,23:22:59,31671,19331,413,52,9,0,2.45
POST_0128,Twitter,organic,New collection launch! Check out our latest Eco Accessories 🌿 #Sustainable #EcoFriendly,video,10-12-2025,08:29:46,12489,10820,360,22,10,0,3.62
POST_0133,Twitter,organic,This week's bestseller: Our iconic Eco Accessories is back in stock! 🔥 #Trending #EcoFashion,image,27-11-2025,23:08:54,10790,8414,88,10,5,0,1.22
POST_0139,Twitter,organic,Flat 20% off on all Green Living! Use code: ECO20 🎉 #Discount #ShopNow,image,26-11-2025,19:45:31,24548,17353,1210,24,325,0,2.65
POST_0142,Twitter,organic,Our commitment to sustainability: Every Sustainable Clothing saves 10L water 💧 #SustainableChoice,video,18-09-2025,14:45:10,16917,11718,390,29,26,0,3.73
POST_0143,Twitter,organic,Our commitment to sustainability: Every Green Living saves 10L water 💧 #SustainableChoice,video,24-09-2025,21:19:36,40064,32919,981,135,41,0,3.51
POST_0145,Twitter,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,carousel,04-11-2025,10:37:57,26739,16521,253,32,11,0,1.85
POST_0146,Twitter,organic,Behind the scenes of our Eco Accessories production 📸 #EthicalFashion #Handmade,carousel,20-09-2025,16:07:33,19530,17394,173,14,12,0,1.14
POST_0148,Twitter,organic,This week's bestseller: Our iconic Organic Footwear is back in stock! 🔥 #Trending #EcoFashion,video,16-10-2025,03:45:59,14924,9883,313,18,6,0,3.41
POST_0149,Twitter,organic,Weekend plans? Shopping karo with flat 25% off 🛍️ #WeekendSale #EcoFriendly,video,19-09-2025,15:56:54,43592,35310,1796,21,289,0,1.45
POST_0150,Twitter,organic,Weekend plans? Shopping karo with flat 25% off 🛍️ #WeekendSale #EcoFriendly,video,29-11-2025,20:41:45,15498,13122,454,51,10,0,3.89
